name,unicode,sideBar,sortName,category,subCategory,anchors,accents,production,decompose,script,altNames,description
e-khmer,17C1,Vowels/Dependent,kh224,Letter,Spacing,,,uni17C1,,khmer,,KHMER VOWEL SIGN E
ae-khmer,17C2,Vowels/Dependent,kh226,Letter,Spacing,,,uni17C2,,khmer,,KHMER VOWEL SIGN AE
ai-khmer,17C3,Vowels/Dependent,kh228,Letter,Spacing,,,uni17C3,,khmer,,KHMER VOWEL SIGN AI
oo-khmer,17C4,Vowels/Dependent,kh230,Letter,Spacing,,,uni17C4,"e-khmer, dottedCircle, aasign-khmer",khmer,,KHMER VOWEL SIGN OO
au-khmer,17C5,Vowels/Dependent,kh232,Letter,Spacing,,,uni17C5,"e-khmer, dottedCircle, au-khmer.right",khmer,,KHMER VOWEL SIGN AU
au-khmer.post,,Vowels/Dependent,,Mark,Spacing,,,uni17C5.post,,khmer,,
reahmuk-khmer,17C7,Marks,kh234,Mark,Spacing,,,uni17C7,,khmer,,KHMER SIGN REAHMUK
yuukaleapintu-khmer,17C8,Marks,kh236,Mark,Spacing,,,uni17C8,,khmer,,KHMER SIGN YUUKALEAPINTU
coeng-khmer,17D2,Marks,kh238,Mark,Nonspacing,,,uni17D2,,khmer,,KHMER SIGN COENG
khan-khmer,17D4,Symbols and Punctuation,kh240,Punctuation,,,,uni17D4,,khmer,,KHMER SIGN KHAN
bariyoosan-khmer,17D5,Symbols and Punctuation,kh242,Punctuation,,,,uni17D5,,khmer,,KHMER SIGN BARIYOOSAN
camnucpiikuuh-khmer,17D6,Symbols and Punctuation,kh244,Punctuation,,,,uni17D6,,khmer,,KHMER SIGN CAMNUC PII KUUH
lektoo-khmer,17D7,Symbols and Punctuation,kh246,Letter,Modifier,,,uni17D7,,khmer,,KHMER SIGN LEK TOO
beyyal-khmer,17D8,Symbols and Punctuation,kh248,Punctuation,,,,uni17D8,,khmer,,KHMER SIGN BEYYAL
phnaekmuan-khmer,17D9,Symbols and Punctuation,kh250,Punctuation,,,,uni17D9,,khmer,,KHMER SIGN PHNAEK MUAN
koomuut-khmer,17DA,Symbols and Punctuation,kh252,Punctuation,,,,uni17DA,,khmer,,KHMER SIGN KOOMUUT
riel-khmer,17DB,Symbols and Punctuation,kh254,Symbol,Currency,,,uni17DB,,khmer,,KHMER CURRENCY SYMBOL RIEL
